City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
High Rock,BS,75.22,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
Rikitea,PF,73.31,overcast clouds,-23.1203,-134.9692,People ThankYou
Meulaboh,ID,75.2,light rain,4.1363,96.1285,Kost Pria
Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
Belize,BZ,73.08,light rain,17.25,-88.75,Villa San Juan
Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
Antalaha,MG,70.29,light rain,-14.9003,50.2788,Hotel Vitasoa
Fundao,BR,74.53,broken clouds,-19.9341,-40.4047,City Hotel
Vaini,TO,76.82,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Inhambane,MZ,76.66,few clouds,-23.865,35.3833,Oceano
Matara,LK,75.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Cayenne,GF,78.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
Kalmunai,LK,75.07,overcast clouds,7.4167,81.8167,VS Villa
Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Safaga,EG,71.76,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
Faanui,PF,79.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Arraial Do Cabo,BR,72.0,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Hobart,AU,71.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Bandarbeyla,SO,79.18,broken clouds,9.4942,50.8122,JABIR HOTEL
Acarau,BR,79.38,overcast clouds,-2.8856,-40.12,castelo pizzaria
Yanam,IN,76.26,overcast clouds,16.7333,82.2167,The Regency Hotel
Atuona,PF,77.61,broken clouds,-9.8,-139.0333,Villa Enata
Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Gurupa,BR,78.31,moderate rain,-1.405,-51.64,Hotel Vitória
Santa Cruz Cabralia,BR,75.43,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
Pangkalanbuun,ID,74.12,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
Bintulu,MY,75.85,moderate rain,3.1667,113.0333,900 Boutique INN
Chenzhou,CN,70.86,broken clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
Magdalena,PH,79.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
Voh,NC,77.61,broken clouds,-20.9667,164.7,Le gîte du Koniambo
Padang,ID,76.39,overcast clouds,-0.9492,100.3543,Mercure Padang
Clarence Town,AU,71.94,clear sky,-32.5833,151.7833,River Downs Cottage
Meadow Lake,US,70.29,clear sky,34.8014,-106.5436,TumbleWeed RV Park
Kaeo,NZ,71.33,scattered clouds,-35.1,173.7833,Bushido Lodge
Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
Caravelas,BR,73.49,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
Dingle,PH,78.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Chavakachcheri,LK,79.25,overcast clouds,9.6579,80.1643,Muslim hotel முஸ்லிம் ஹோட்டல்
Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Byron Bay,AU,70.95,few clouds,-28.65,153.6167,Backpackers Inn
Banamba,ML,73.81,few clouds,13.55,-7.45,Kassela de Banamba
