,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,8.65,86,100,3.2,overcast clouds
1,Oksfjord,NO,70.2396,22.3479,37.58,85,10,13.53,clear sky
2,Srednekolymsk,RU,67.45,153.6833,-8.36,99,100,2.06,overcast clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,4.61,scattered clouds
4,Rikitea,PF,-23.1203,-134.9692,73.24,88,100,10.07,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,51.91,40,40,25.32,scattered clouds
6,Busselton,AU,-33.65,115.3333,57.87,89,94,6.22,overcast clouds
7,Butaritari,KI,3.0707,172.7902,81.34,79,100,20.98,light rain
8,Sinnar,SD,13.5691,33.5672,78.26,20,10,13.06,clear sky
9,Preobrazheniye,RU,42.9019,133.9064,42.87,71,86,7.27,overcast clouds
10,Albany,US,42.6001,-73.9662,50.72,38,0,5.82,clear sky
11,Victoria,HK,22.2855,114.1577,75.38,86,0,5.99,clear sky
12,Mataura,NZ,-46.1927,168.8643,53.47,52,3,3.76,clear sky
13,Cabo San Lucas,MX,22.8909,-109.9124,86.61,53,20,18.41,few clouds
14,Talnakh,RU,69.4865,88.3972,-6.65,99,100,2.51,light snow
15,La Ronge,CA,55.1001,-105.2842,14.04,76,85,4.7,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,61,40,19.57,scattered clouds
17,Hamilton,US,39.1834,-84.5333,75.43,28,0,8.05,clear sky
18,Sandwick,GB,60.0,-1.25,51.62,76,40,24.16,scattered clouds
19,Nioro,GM,13.35,-15.75,79.03,50,0,6.08,clear sky
20,Aklavik,CA,68.2191,-135.0107,13.86,90,22,11.05,few clouds
21,Sao Filipe,CV,14.8961,-24.4956,78.53,67,96,8.12,overcast clouds
22,Iqaluit,CA,63.7506,-68.5145,0.88,95,65,12.08,broken clouds
23,Okhotsk,RU,59.3833,143.3,3.92,72,0,18.66,clear sky
24,Alice Springs,AU,-23.7,133.8833,72.95,60,51,5.75,broken clouds
25,Salta,AR,-24.7859,-65.4117,82.58,33,89,1.99,overcast clouds
26,Cherskiy,RU,68.75,161.3,-1.21,97,100,6.98,overcast clouds
27,Kastamonu,TR,41.5,33.6667,37.92,87,0,0.16,clear sky
28,Bambous Virieux,MU,-20.3428,57.7575,71.22,72,21,9.62,few clouds
29,Zhezkazgan,KZ,47.8043,67.7144,31.59,77,90,5.82,overcast clouds
30,Komsomolskiy,UZ,40.4272,71.7189,34.52,86,2,6.91,clear sky
31,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,19.57,light intensity shower rain
32,Cayenne,GF,4.9333,-52.3333,80.64,83,75,6.91,broken clouds
33,Winneba,GH,5.3511,-0.6231,78.03,86,54,8.41,moderate rain
34,Arona,ES,28.0996,-16.681,63.12,83,20,10.36,few clouds
35,Samarai,PG,-10.6167,150.6667,81.79,66,83,10.18,broken clouds
36,Chuy,UY,-33.6971,-53.4616,64.62,72,2,10.78,clear sky
37,Orlik,RU,52.5178,99.825,18.12,94,100,4.27,overcast clouds
38,Leningradskiy,RU,69.3833,178.4167,0.66,88,100,5.86,overcast clouds
39,Muyezerskiy,RU,63.9333,31.65,26.69,95,98,2.42,overcast clouds
40,Tasiilaq,GL,65.6145,-37.6368,32.16,75,99,3.98,overcast clouds
41,Te Anau,NZ,-45.4167,167.7167,50.76,58,7,0.22,clear sky
42,Vaini,TO,-21.2,-175.2,80.76,83,75,12.66,broken clouds
43,Chokurdakh,RU,70.6333,147.9167,-10.08,100,78,8.16,broken clouds
44,Ilulissat,GL,69.2167,-51.1,-7.38,77,87,4.47,overcast clouds
45,Atuona,PF,-9.8,-139.0333,77.45,70,82,17.85,broken clouds
