City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Latehar,IN,2022-11-08 14:36:50,23.75,84.5,65.55,67,2,2.01
1,Buchanan,LR,2022-11-08 14:31:56,5.8808,-10.0467,82.51,72,93,7.92
2,Faanui,PF,2022-11-08 14:36:51,-16.4833,-151.75,77.74,76,73,11.23
3,Gazanjyk,TM,2022-11-08 14:36:51,39.2446,55.5154,46.65,40,0,18.72
4,Caravelas,BR,2022-11-08 14:36:52,-17.7125,-39.2481,77.86,57,100,6.82
5,Bengkulu,ID,2022-11-08 14:36:52,-3.8004,102.2655,77.54,88,100,4.59
6,Mount Isa,AU,2022-11-08 14:36:53,-20.7333,139.5,76.77,36,76,0.0
7,Bethel,US,2022-11-08 14:33:33,41.3712,-73.414,51.03,50,0,14.97
8,Talnakh,RU,2022-11-08 14:36:53,69.4865,88.3972,-14.08,99,87,4.83
9,Grindavik,IS,2022-11-08 14:36:54,63.8424,-22.4338,41.47,87,0,12.66
10,Payo,ID,2022-11-08 14:36:54,-3.7508,103.6372,74.26,97,100,1.97
11,Nantucket,US,2022-11-08 14:31:56,41.2835,-70.0995,52.09,61,30,27.94
12,Makakilo City,US,2022-11-08 14:36:55,21.3469,-158.0858,75.52,76,0,14.97
13,East London,ZA,2022-11-08 14:36:55,-33.0153,27.9116,65.34,94,40,3.44
14,Prince Rupert,CA,2022-11-08 14:36:56,54.3161,-130.3201,28.09,57,0,10.36
15,Deer Lake,CA,2022-11-08 14:36:56,49.1667,-57.4316,40.86,70,75,18.41
16,Takoradi,GH,2022-11-08 14:33:20,4.8845,-1.7554,83.55,69,30,10.09
17,San Raymundo,GT,2022-11-08 14:36:57,14.7647,-90.5956,63.39,85,52,3.42
18,Cabo San Lucas,MX,2022-11-08 14:32:20,22.8909,-109.9124,74.52,65,7,3.0
19,Avera,US,2022-11-08 14:36:57,33.194,-82.5271,71.55,53,0,16.37
20,Malanje,AO,2022-11-08 14:36:57,-9.5402,16.341,77.11,60,100,4.21
21,Ahuimanu,US,2022-11-08 14:36:58,21.4447,-157.8378,76.71,82,40,14.97
22,Koumac,NC,2022-11-08 14:36:58,-20.5667,164.2833,74.71,88,41,11.21
23,Ushtobe,KZ,2022-11-08 14:36:59,45.2514,77.9838,41.27,59,100,10.83
24,Xining,CN,2022-11-08 14:36:59,36.6167,101.7667,44.13,55,81,2.86
25,Necochea,AR,2022-11-08 14:36:59,-38.5473,-58.7368,78.75,29,10,16.22
26,Roma,US,2022-11-08 14:32:03,43.2128,-75.4557,45.73,66,0,11.5
27,Fairbanks,US,2022-11-08 14:35:02,64.8378,-147.7164,24.22,88,100,3.44
28,Alta Floresta,BR,2022-11-08 14:37:00,-9.8756,-56.0861,87.62,66,51,4.61
29,Sawtell,AU,2022-11-08 14:37:01,-30.3833,153.1,60.82,88,75,4.61
30,Caruray,PH,2022-11-08 14:37:01,10.3094,119.0128,79.72,87,100,6.11
31,Alto Araguaia,BR,2022-11-08 14:37:01,-17.3147,-53.2153,87.89,31,6,5.77
32,Bubaque,GW,2022-11-08 14:37:02,11.2833,-15.8333,83.41,45,90,4.43
33,New Norfolk,AU,2022-11-08 14:37:02,-42.7826,147.0587,58.91,55,100,0.6
34,Harnosand,SE,2022-11-08 14:37:03,62.6323,17.9379,37.0,75,68,2.21
35,Katsuura,JP,2022-11-08 14:37:03,35.1333,140.3,60.66,62,8,6.13
36,Mega,ET,2022-11-08 14:38:03,4.05,38.3,69.49,46,99,6.87
37,Georgetown,MY,2022-11-08 14:34:28,5.4112,100.3354,82.33,89,20,3.44
38,Mareeba,AU,2022-11-08 14:38:05,-17.0,145.4333,72.48,88,8,2.46
39,Khatanga,RU,2022-11-08 14:38:05,71.9667,102.5,-8.45,96,100,8.41
40,Nara,JP,2022-11-08 14:38:06,34.6851,135.8049,54.7,61,0,1.83
41,Litein,KE,2022-11-08 14:38:06,-0.5823,35.1903,60.85,81,100,4.14
42,Inta,RU,2022-11-08 14:38:07,66.0317,60.1659,26.17,97,100,7.14
43,Vangaindrano,MG,2022-11-08 14:38:07,-23.35,47.6,75.52,79,100,11.3
44,Fort Nelson,CA,2022-11-08 14:38:08,58.8053,-122.7002,-15.21,82,0,4.61
45,Araouane,ML,2022-11-08 14:38:08,18.9048,-3.5265,89.64,7,0,5.06
46,Belozerskoye,RU,2022-11-08 14:38:09,55.8214,65.5842,29.23,97,100,8.16
47,Alyangula,AU,2022-11-08 14:36:12,-13.8483,136.4192,81.91,75,36,9.62
48,Berlevag,NO,2022-11-08 14:37:31,70.8578,29.0864,35.55,93,100,4.61
49,Annau,TM,2022-11-08 14:38:10,37.8876,58.516,47.7,61,40,6.91
50,Walvis Bay,NA,2022-11-08 14:38:10,-22.9575,14.5053,72.55,60,0,10.36
51,San Patricio,US,2022-11-08 14:37:29,28.017,-97.5169,78.67,76,3,9.08
52,Doka,SD,2022-11-08 14:38:12,13.5167,35.7667,88.9,27,34,1.68
53,Sabang,ID,2022-11-08 14:38:12,5.8933,95.3214,81.18,74,100,1.83
54,Tumbes,PE,2022-11-08 14:38:13,-3.5667,-80.4414,71.37,75,99,7.18
55,Bondo,CD,2022-11-08 14:38:15,3.8146,23.6866,75.43,95,100,4.16
56,Turukhansk,RU,2022-11-08 14:37:26,65.8167,87.9833,20.5,96,100,11.72
57,Adelaide,AU,2022-11-08 14:38:15,-34.9333,138.6,79.11,39,0,14.97
58,Tabou,CI,2022-11-08 14:38:15,4.423,-7.3528,83.19,68,75,7.4
59,Dingle,PH,2022-11-08 14:38:16,10.9995,122.6711,77.32,92,99,7.02
60,Namatanai,PG,2022-11-08 14:38:17,-3.6667,152.4333,79.63,83,100,6.06
61,Benton Harbor,US,2022-11-08 14:38:17,42.1167,-86.4542,45.59,65,0,11.5
62,Kloulklubed,PW,2022-11-08 14:38:17,7.0419,134.2556,77.5,71,98,4.9
63,Suluova,TR,2022-11-08 14:38:18,40.8313,35.6479,51.66,87,75,8.05
64,Aksarka,RU,2022-11-08 14:38:18,66.5606,67.7975,17.08,97,100,0.67
65,Santa Rosa,PH,2022-11-08 14:38:19,14.3122,121.1114,80.58,80,98,7.56
66,Tarakan,ID,2022-11-08 14:38:19,3.3,117.6333,80.1,94,20,2.3
67,Esperance,AU,2022-11-08 14:38:20,-33.8667,121.9,58.19,75,90,8.88
68,Redmond,US,2022-11-08 14:38:21,47.674,-122.1215,38.35,94,97,1.99
69,Man,CI,2022-11-08 14:38:21,7.4125,-7.5538,89.69,35,25,4.94
70,Ixtapa,MX,2022-11-08 14:38:22,20.7,-105.2,75.22,94,0,3.44
71,Paamiut,GL,2022-11-08 14:38:22,61.994,-49.6678,16.77,56,20,6.78
72,Swift Current,CA,2022-11-08 14:38:22,50.2834,-107.8014,5.81,85,100,17.27
73,Innisfail,AU,2022-11-08 14:38:23,-17.5333,146.0333,72.57,81,47,3.56
74,Sibu,MY,2022-11-08 14:38:23,2.3,111.8167,77.31,94,40,3.44
75,Castro,BR,2022-11-08 14:33:41,-24.7911,-50.0119,67.01,50,58,4.09
76,Upernavik,GL,2022-11-08 14:38:24,72.7868,-56.1549,3.11,73,7,7.65
77,Hofn,IS,2022-11-08 14:38:25,64.2539,-15.2082,42.46,76,100,24.0
78,Tasiilaq,GL,2022-11-08 14:38:27,65.6145,-37.6368,30.36,88,100,4.68
79,Burgeo,CA,2022-11-08 14:38:28,47.6167,-57.6152,42.3,67,67,34.14
80,Abu Dhabi,AE,2022-11-08 14:37:02,24.4667,54.3667,89.71,58,0,6.91
81,Kodiak,US,2022-11-08 14:38:29,57.79,-152.4072,36.91,100,100,3.44
82,Hailar,CN,2022-11-08 14:39:29,49.2,119.7,25.72,76,100,6.69
83,Inhambane,MZ,2022-11-08 14:39:29,-23.865,35.3833,82.38,74,75,16.11
84,Trairi,BR,2022-11-08 14:39:07,-3.2778,-39.2689,87.51,49,98,14.47
85,Zhigalovo,RU,2022-11-08 14:39:30,54.8097,105.1578,15.35,97,64,3.15
86,Pauini,BR,2022-11-08 14:39:31,-7.7136,-66.9764,97.93,29,51,2.44
